model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,regressor,best_params,test_r2,cv_r2,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.11661243233764484,0.1463575026480658,-0.029745070310420948,384,True,0.06385980940808508,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.01671017044846575,0.07262999205959235,-0.0559198216111266,32,True,0.03101403077292582,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.047338392964003995,0.09129063209276468,-0.043952239128760694,384,True,0.04644911840332591,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.006645225299029889,0.04961910209635884,-0.042973876797328954,32,True,0.028718828963657766,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.062045107174732106,0.07995367602528382,-0.0179085688505517,384,True,0.034282860649286095,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),0.014127898646895417,0.03638001883557241,-0.022252120188676994,32,True,0.017930141423403077,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v4,C2,A1,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.75,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.026191926553118933,0.05043488513846003,-0.02424295858534109,384,True,0.03301618034545328,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v4,C2,A1,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.75,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),-0.009395462135798172,0.01677699733846791,-0.02617245947426608,32,True,0.017657384922072444,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v5,C2,A1,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.0,Raw,raw_features,ridge,ElasticNet (aggregated across 6 dimensions),0.04111547641143204,0.04278902764912192,-0.0016735512376898794,384,True,0.040941725393220524,point_m2ae_sc_30_configurations
point_m2ae_encoder,C2A1v5,C2,A1,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,2.0,PCA 32D,pca_features,ridge,ElasticNet (aggregated across 6 dimensions),-0.0029920124936683536,0.004166051859571537,-0.00715806435323989,32,True,0.01387371762480821,point_m2ae_sc_30_configurations
