model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C2A2v4,C2,A2,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.8}",0.5586991770466873,0.542366578983531,0.39790739289369725,1536,False,0.017857187632008237,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v4,C2,A2,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.5713524455303021,0.5701106000440662,0.06606224614632106,32,False,0.04089515753507988,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v5,C2,A2,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5851596555472127,0.5823885124652233,0.3682717204113597,1536,False,0.03619847006684952,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A2v5,C2,A2,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5834529135999867,0.6004166645238653,0.13015334163443149,32,False,0.039987322696110966,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v1,C2,A3,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6705906352394709,0.6141531000807243,0.3359904769958528,576,False,0.027763911971611183,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v1,C2,A3,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6241588308310749,0.5666032839306698,0.16272779959584704,32,False,0.053130672889993756,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v2,C2,A3,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.25,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6650310809038114,0.6178824428074903,0.3287113280158349,576,False,0.02887393963150121,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v2,C2,A3,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.25,PCA 32D,pca_features,logistic,"{'C': 1000.0, 'l1_ratio': 0.4}",0.5794472694638091,0.5846690165570628,0.14392079886325937,32,False,0.034928801358309176,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v3,C2,A3,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.5,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5977869978013923,0.6087481614309184,0.389879275142774,576,False,0.041448918280114364,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v3,C2,A3,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.5,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5324205593331884,0.5459373541696293,0.11641565749919813,32,False,0.04512815366861986,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v4,C2,A3,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.75,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.9}",0.6137038346362356,0.5782145254936167,0.3738686684926492,576,False,0.017132181250804984,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v4,C2,A3,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.75,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.558303927113071,0.563934344331484,0.15649287901667241,32,False,0.056217213588331504,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v5,C2,A3,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6654152873753795,0.578285920804862,0.2761389065605342,576,False,0.020192388353996338,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C2A3v5,C2,A3,v5,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5889219008269713,0.5831204985664508,0.14518862528642207,32,False,0.03528170795630901,point_m2ae_ofc_30_configurations
