model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C3A2v4,C3,A2,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean_std_min_max,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.8}",0.5996465079711443,0.6001220550660457,0.25972686536853595,1536,False,0.01992414039695996,point_m2ae_full_configurations
point_m2ae_encoder,C3A3v1,C3,A3,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.0}",0.5977869978013923,0.6087481614309184,0.389879275142774,576,False,0.041448918280114364,point_m2ae_full_configurations
point_m2ae_encoder,C3A3v2,C3,A3,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6654152873753795,0.578285920804862,0.2761389065605342,576,False,0.020192388353996338,point_m2ae_full_configurations
point_m2ae_encoder,C3A3v3,C3,A3,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5426126226671952,0.5705628886110106,0.346790520575043,576,False,0.048770616761619895,point_m2ae_full_configurations
point_m2ae_encoder,C3A3v4,C3,A3,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",multi_level,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5714233218066826,0.5847709871149087,0.16746135833995435,576,False,0.035324461768056356,point_m2ae_full_configurations
point_m2ae_encoder,C3A4v1,C3,A4,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",adaptive,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.1}",0.6112518426283432,0.6018730231779369,0.39132978719542244,384,False,0.030046794648356023,point_m2ae_full_configurations
point_m2ae_encoder,C3A4v2,C3,A4,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",adaptive,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6629739437820882,0.5821187221041383,0.2702065705242639,384,False,0.018212483899553947,point_m2ae_full_configurations
point_m2ae_encoder,C3A4v3,C3,A4,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",adaptive,2.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5471657489654919,0.566117882114155,0.34526639731920283,384,False,0.04884058023933397,point_m2ae_full_configurations
point_m2ae_encoder,C3A4v4,C3,A4,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",adaptive,3.0,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5720742031714331,0.5836292147271734,0.16117784423634773,384,False,0.03483986943486124,point_m2ae_full_configurations
point_m2ae_encoder,C3A5v1,C3,A5,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",attention,1.5,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5969102386293037,0.58573728996915,0.387188575869887,384,False,0.020871345237672537,point_m2ae_full_configurations
point_m2ae_encoder,C3A5v2,C3,A5,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",attention,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.6174572856436821,0.5997598059985108,0.2850661821478353,384,False,0.03863820926791338,point_m2ae_full_configurations
point_m2ae_encoder,C3A5v3,C3,A5,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",attention,2.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5156449211112085,0.5365751694615092,0.368368693299292,384,False,0.032551921775583685,point_m2ae_full_configurations
point_m2ae_encoder,C3A5v4,C3,A5,v4,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",attention,3.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5599977257972097,0.5694986334637111,0.11327638683816943,384,False,0.046891122013797484,point_m2ae_full_configurations
point_m2ae_encoder,C4A1v1,C4,A1,v1,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean,1.5,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5958490736911581,0.58178671872148,0.2676677609670923,384,False,0.0527619732868012,point_m2ae_full_configurations
point_m2ae_encoder,C4A1v2,C4,A1,v2,"[512, 256, 64]","[16, 8, 8]","[0.1, 0.2, 0.4]",mean,2.0,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5554849181604622,0.5683650438691161,0.27102616863930273,384,False,0.052916008555246336,point_m2ae_full_configurations
